Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0067266,0.074509,0.0042987,0,0,0,8.5812,0.0080678,-4.1661E-05,0.00052471,0.015116,3.6934E-05,0.012081,0,0,0,0,0,0,package://狗v3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://狗v3/meshes/base_link.STL,,新底盘-偏移装甲板-1/新底板-电机端-1;新底盘-偏移装甲板-1/铝管-长-1;新底盘-偏移装甲板-1/铝管-长-2;新底盘-偏移装甲板-1/铝管-短-1;新底盘-偏移装甲板-1/装甲板-小-1;新底盘-偏移装甲板-1/装甲板-支架-1;新底盘-偏移装甲板-1/装甲板-支架-2;新底盘-偏移装甲板-1/铝管-侧-1;新底盘-偏移装甲板-1/铝管-侧-2;新底盘-偏移装甲板-1/铝管-侧-3;新底盘-偏移装甲板-1/铝管-侧-4;新底盘-偏移装甲板-1/底盘碳板1-1;新底盘-偏移装甲板-1/底盘碳板-切除-拉伸20-1;新底盘-偏移装甲板-1/下弹链12.12-1;新底盘-偏移装甲板-1/RFID安装-1;新底盘-偏移装甲板-1/C板安装-1;新底盘-偏移装甲板-1/配件-主控板C-1;新底盘-偏移装甲板-1/配件-电调中心版 2-1;新底盘-偏移装甲板-1/电管安装-1;新底盘-偏移装甲板-1/底盘yaw连接-1;新底盘-偏移装甲板-1/裁判-电源管理模块-1;新底盘-偏移装甲板-1/C板-中心板连接件-1;新底盘-偏移装甲板-1/配件-主控板C-2;新底盘-偏移装甲板-1/底盘yaw连接-2;新底盘-偏移装甲板-1/底盘yaw连接-3;新底盘-偏移装甲板-1/底盘yaw连接-4;新底盘-偏移装甲板-1/合页-1;新底盘-偏移装甲板-1/裁判-场地交互模块-1;新底盘-偏移装甲板-1/合页-2;新底盘-偏移装甲板-1/合页-3;新底盘-偏移装甲板-1/合页-4;新底盘-偏移装甲板-1/装甲板安装垫块-1;新底盘-偏移装甲板-1/装甲板安装垫块-2;新底盘-偏移装甲板-1/装甲板安装垫块-3;新底盘-偏移装甲板-1/装甲板安装垫块-4;新底盘-偏移装甲板-1/装甲板安装垫块-5;新底盘-偏移装甲板-1/装甲板安装垫块-6;新底盘-偏移装甲板-1/装甲板安装垫块-7;新底盘-偏移装甲板-1/装甲板-支架-3;新底盘-偏移装甲板-1/装甲板-支架-4;新底盘-偏移装甲板-1/装甲板-支架-7;新底盘-偏移装甲板-1/装甲板-支架-8;新底盘-偏移装甲板-1/装甲板-小-3;新底盘-偏移装甲板-1/装甲板-小-4;新底盘-偏移装甲板-1/上盖板-1;新底盘-偏移装甲板-1/电池安装板1-1;新底盘-偏移装甲板-1/电池安装板1-2;新底盘-偏移装甲板-1/侧碳板-3;新底盘-偏移装甲板-1/侧碳板-4;新底盘-偏移装甲板-1/电池安装板1-3;新底盘-偏移装甲板-1/电池安装板1-4;新底盘-偏移装甲板-1/底盘-直驱连接-1;新底盘-偏移装甲板-1/底盘-直驱连接-2;新底盘-偏移装甲板-1/底盘-直驱连接-3;新底盘-偏移装甲板-1/底盘-直驱连接-4;新底盘-偏移装甲板-1/弹舱盖-1;新底盘-偏移装甲板-1/铷铁硼磁铁-1;新底盘-偏移装甲板-1/铷铁硼磁铁-2;新底盘-偏移装甲板-1/弹仓拨盘侧-1;新底盘-偏移装甲板-1/弹仓平连接-1;新底盘-偏移装甲板-1/开关固定-1;新底盘-偏移装甲板-1/侧碳板-5;新底盘-偏移装甲板-1/侧碳板-6;新底盘-偏移装甲板-1/转接件-4孔-1;新底盘-偏移装甲板-1/装甲板支架装配-1;新底盘-偏移装甲板-1/装甲板安装垫块-9;新底盘-偏移装甲板-1/装甲板固定-1;新底盘-偏移装甲板-1/转接件-4孔-2;新底盘-偏移装甲板-1/装甲板空外壳SLDPRT-1;新底盘-偏移装甲板-1/装甲板固定-2;新底盘-偏移装甲板-1/装甲板空外壳SLDPRT-2;新底盘-偏移装甲板-1/转接件-4孔-5;新底盘-偏移装甲板-1/装甲板固定-3;新底盘-偏移装甲板-1/转接件-4孔-7;新底盘-偏移装甲板-1/装甲板空外壳SLDPRT-3;新底盘-偏移装甲板-1/装甲板固定-4;新底盘-偏移装甲板-1/弹仓rfid侧板-1;新底盘-偏移装甲板-1/电池架-转轴连接-1;新底盘-偏移装甲板-1/转接件-4孔-8;新底盘-偏移装甲板-1/转接件-4孔-9;新底盘-偏移装甲板-1/电池架-转轴连接-2;新底盘-偏移装甲板-1/转轴-底盘连接-1;新底盘-偏移装甲板-1/转轴-底盘连接-2;新底盘-偏移装甲板-1/电池底板-1;新底盘-偏移装甲板-1/合页1.5-1;新底盘-偏移装甲板-1/合页1.5-2;新底盘-偏移装甲板-1/连接方块6x6x21-1;新底盘-偏移装甲板-1/连接方块6x6x21-2;新底盘-偏移装甲板-1/外装甲板保护-1;新底盘-偏移装甲板-1/外装甲板保护-2;新底盘-偏移装甲板-1/外装甲板保护-3;新底盘-偏移装甲板-1/外装甲板保护-4;新底盘-偏移装甲板-1/上盖板2-2;新底盘-偏移装甲板-1/转接件-4孔-10;新底盘-偏移装甲板-1/装甲板空外壳SLDPRT-4;新底盘-偏移装甲板-1/上盖板2-3;新底盘-偏移装甲板-1/转接件-4孔-11;新底盘-偏移装甲板-1/弹舱盖-2;新底盘-偏移装甲板-1/合页端-1;新底盘-偏移装甲板-1/合页-6;新底盘-偏移装甲板-1/合页-7;新底盘-偏移装甲板-1/合页-8;新底盘-偏移装甲板-1/合页-9;新底盘-偏移装甲板-1/连接方块6x6x21-3;新底盘-偏移装甲板-1/卡扣固定-1;新底盘-偏移装甲板-1/导轮架内 x2-1;新底盘-偏移装甲板-1/小导轮架-1;新底盘-偏移装甲板-1/导轮12x3x5-1;新底盘-偏移装甲板-1/导轮12x3x5-2;新底盘-偏移装甲板-1/导轮12x3x5-3;新底盘-偏移装甲板-1/导轮12x3x5-4;新底盘-偏移装甲板-1/弹仓侧挡板-电池-1;新底盘-偏移装甲板-1/弹仓侧面-4;新底盘-偏移装甲板-1/弹仓侧面-5;新底盘-偏移装甲板-1/弹仓侧面-6;新底盘-偏移装甲板-1/弹仓侧面-7;新底盘-偏移装甲板-1/底盘上垫块-1;新底盘-偏移装甲板-1/上盖板支撑-1;新底盘-偏移装甲板-1/导轮连接-rfid-1;新底盘-偏移装甲板-1/小导轮架-2;新底盘-偏移装甲板-1/_1-PGXA-2;新底盘-偏移装甲板-1/_2-PGXA.step-2;新底盘-偏移装甲板-1/四轮组上连接-1;新底盘-偏移装甲板-1/YAW轴系装配-1;新底盘-偏移装甲板-1/新电池安装-2;新底盘-偏移装甲板-1/装甲板支架装配-1/装甲板-小-1;新底盘-偏移装甲板-1/装甲板支架装配-1/装甲板-支架-1;新底盘-偏移装甲板-1/装甲板支架装配-1/装甲板-支架-2;新底盘-偏移装甲板-1/YAW轴系装配-1/滑环-1;新底盘-偏移装甲板-1/YAW轴系装配-1/MG4010-i10-1;新底盘-偏移装甲板-1/YAW轴系装配-1/RA9008-1;新底盘-偏移装甲板-1/YAW轴系装配-1/车架-步兵交叉滚子轴承座-1;新底盘-偏移装甲板-1/YAW轴系装配-1/轴承上压板-1;新底盘-偏移装甲板-1/YAW轴系装配-1/yaw轴承内座-1;新底盘-偏移装甲板-1/YAW轴系装配-1/小带轮-1;新底盘-偏移装甲板-1/YAW轴系装配-1/yaw电机安装-1;新底盘-偏移装甲板-1/YAW轴系装配-1/同步带-1;新底盘-偏移装甲板-1/YAW轴系装配-1/同步带保护-1;新底盘-偏移装甲板-1/YAW轴系装配-1/主动轮保护壳-1;新底盘-偏移装甲板-1/YAW轴系装配-1/大带轮-2;新底盘-偏移装甲板-1/YAW轴系装配-1/大带轮1-1;云台总装-1/弹链集成-1;云台总装-1/MG4010-i10+uwb-1;云台总装-1/pich电机联轴器-1;云台总装-1/短臂-2;云台总装-1/40长臂-1;云台总装-1/M5法兰轴承-1;云台总装-1/M5法兰轴承-2;云台总装-1/M5法兰轴承-3;云台总装-1/M5法兰轴承-5;云台总装-1/M5法兰轴承-6;云台总装-1/M5法兰轴承-7;云台总装-1/摩擦轮-电机3508(无减速器-1;云台总装-1/250专用加速座-1;云台总装-1/摩擦轮-电机3508(无减速器-2;云台总装-1/3×12销钉-2;云台总装-1/裁判-测速模块17mm-1;云台总装-1/M5法兰轴承-8;云台总装-1/M5法兰轴承-9;云台总装-1/摩擦轮电机底板-1;云台总装-1/测速磁铁安装-1;云台总装-1/转接件-4孔-1;云台总装-1/转接件-4孔-8;云台总装-1/转接件-4孔-9;云台总装-1/垫高-1;云台总装-1/销钉3×54-1;云台总装-1/盖板打印件-1;云台总装-1/限位块-1;云台总装-1/轴承座-1;云台总装-1/40-1;云台总装-1/垫片4×7×0.5-1;云台总装-1/M4螺栓-1;云台总装-1/裁判-图传模块（2025）-1;云台总装-1/荧光充能槽-1;云台总装-1/摩擦轮壳v2左-1;云台总装-1/6805-1;云台总装-1/60mm摩擦轮-2;云台总装-1/6805-2;云台总装-1/60mm摩擦轮-3;云台总装-1/上限位块-3;云台总装-1/云台pich连接()-1;云台总装-1/后支架-3;云台总装-1/转接件-4孔-22;云台总装-1/转接件-4孔-23;云台总装-1/pich电机保护-1;云台总装-1/M3×25铜柱-1;云台总装-1/M3×25铜柱-2;云台总装-1/M3×25铜柱-3;云台总装-1/M3×25铜柱-4;云台总装-1/裁判-定位模块V2-1;云台总装-1/M3铝柱×28-1;云台总装-1/云台pich连接-2;云台总装-1/灯条垫块-1;云台总装-1/不锈钢轴套6×8×5-1;云台总装-1/垫片6×9×1-2;云台总装-1/滑片-4;云台总装-1/下滑片改-1;云台总装-1/小弹丸17mm-1;云台总装-1/M5螺帽-1;云台总装-1/碳板垫块-1;云台总装-1/碳板垫块-2;云台总装-1/IMU安装-1;云台总装-1/HPM5361-RMCS_Slave-Lite-3;云台总装-1/标准分电板大杯-1;云台总装-1/转接件-4孔-40;云台总装-1/转接件-4孔-41;云台总装-1/电脑底板-1;云台总装-1/分电板支撑1-1;云台总装-1/转接件-4孔-42;云台总装-1/转接件-4孔-43;云台总装-1/图传垫高-1;云台总装-1/M3x30铝柱-1;云台总装-1/M3x30铝柱-2;云台总装-1/转接件-4孔-44;云台总装-1/转接件-4孔-46;云台总装-1/转接件-4孔-47;云台总装-1/转接件-4孔-48;云台总装-1/4×55双头螺柱销钉-1;云台总装-1/裁判-灯条-1;云台总装-1/分电板安装-1;云台总装-1/转接件-4孔-51;云台总装-1/电脑保护壳-1;云台总装-1/电脑右侧保护-1;云台总装-1/配件-电调C620-2;云台总装-1/电脑上盖-1;云台总装-1/相机垫高-1;云台总装-1/相机保护-1;云台总装-1/转接件-4孔-55;云台总装-1/转接件-4孔-56;云台总装-1/转接件-4孔-57;云台总装-1/转接件-4孔-61;云台总装-1/转接件-4孔-62;云台总装-1/转接件-4孔-63;云台总装-1/转接件-4孔-64;云台总装-1/配件-电调C620-3;云台总装-1/pitch电机上线保-1;云台总装-1/电脑壳子+电脑-1;云台总装-1/摩擦轮壳v2右-1;云台总装-1/转接件-4孔-66;云台总装-1/转接件-4孔-67;云台总装-1/UWB底座-1;云台总装-1/转接件-4孔-68;云台总装-1/打印垫片-1;云台总装-1/UWB底座预备-1;云台总装-1/转接件-4孔-69;云台总装-1/荧光充能槽预备-1;云台总装-1/荧光充能槽3-1;直驱变形机构-3/从动轴系外-1;直驱变形机构-3/MG5010-i36v3.step-2;直驱变形机构-3/电机固定前-1;直驱变形机构-3/转接件-1;直驱变形机构-3/电机上保护-1;直驱变形机构-3/四轮组连接-1;直驱变形机构-2/从动轴系外-1;直驱变形机构-2/MG5010-i36v3.step-2;直驱变形机构-2/电机固定前-1;直驱变形机构-2/四轮组连接-1;直驱变形机构-2/电机上保护-1;直驱变形机构-2/转接件-1;直驱变形机构-1/MG5010-i36v3.step-2;直驱变形机构-1/从动轴系外-1;直驱变形机构-1/电机固定前-1;直驱变形机构-1/电机上保护-1;直驱变形机构-1/四轮组连接-1;直驱变形机构-1/转接件-1;直驱变形机构-4/从动轴系外-1;直驱变形机构-4/MG5010-i36v3.step-2;直驱变形机构-4/电机固定前-1;直驱变形机构-4/电机上保护-1;直驱变形机构-4/四轮组连接-1;直驱变形机构-4/转接件-1,Origin_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg_1,0.0111130557956334,-0.000358037350695228,-0.0730911518365746,0,0,0,0.178173567572345,0.000274535842360019,-1.48706708703655E-11,4.06635087242522E-05,0.000275272223736708,6.99610060301245E-11,4.13805146602339E-05,0,0,0,0,0,0,package://狗v3/meshes/leg_1.STL,1,1,1,1,0,0,0,0,0,0,package://狗v3/meshes/leg_1.STL,,直驱变形机构-3/下连杆-1,Origin_leg_1,基准轴2,joint_leg_1,revolute,0.12921,0.054,0.12921,-1.5708,-0.7854,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
wheel_set_1,0.0384904600277943,0.00290442230512675,0.0450538052749243,0,0,0,0.818847331081486,0.00112748268460672,-8.9072075871603E-08,-9.4946863827374E-06,0.000441830809192752,-4.12952860459312E-08,0.00120102468781508,0,0,0,0,0,0,package://狗v3/meshes/wheel_set_1.STL,1,1,1,1,0,0,0,0,0,0,package://狗v3/meshes/wheel_set_1.STL,,小全向轮总装-3/变形-轮组安装-1;小全向轮总装-3/南京理工大学Alliance配件-电机3508-1;小全向轮总装-3/南京理工大学Alliance垫片10x25x2-1;小全向轮总装-3/南京理工大学Alliance推力轴承10-26-11-1;小全向轮总装-3/直驱-轮组连接-2;小全向轮总装-3/轮组侧碳板-1;小全向轮总装-3/轮组内侧碳板-1;小全向轮总装-3/连接方块-1;小全向轮总装-3/连接方块小号-1;小全向轮总装-3/连接方块-2;小全向轮总装-3/轮组连接碳板1-1;小全向轮总装-3/碳板2-1;小全向轮总装-3/连接方块-3;小全向轮总装-3/防撞-1;小全向轮总装-3/轮组保护-1;小全向轮总装-3/轮组连接碳板1-3;直驱变形机构-3/轮组侧碳板-2;直驱变形机构-3/轮组侧碳板-1;直驱变形机构-3/轮组内侧碳板-1;直驱变形机构-3/轮组内侧碳板-2,Origin_wheel_set_1,基准轴6,joint_wheel_set_1,revolute,0.029108,0,-0.13694,0,0,0,leg_1,0,1,0,0,0,0,0,,,,,,,,
wheel_1,-0.0192743581752877,-0.00135870304986691,-0.00135870304986679,0,0,0,0.0390293050060206,6.29166740582919E-06,-1.06195443206086E-12,1.06195441982143E-12,3.48130890016849E-06,1.84472501362149E-06,3.48130890016889E-06,0,0,0,0,0,0,package://狗v3/meshes/wheel_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://狗v3/meshes/wheel_1.STL,,小全向轮总装-3/南京理工大学Alliance联轴器2-1;小全向轮总装-3/南京理工大学Alliance压紧盖-1;小全向轮总装-3/航发全向轮装配-2,Origin_wheel_1,基准轴7,joint_wheel_1,revolute,0.09092,0,0.02795,1.5708,0,0,wheel_set_1,1,0,0,0,0,0,0,,,,,,,,
leg_2,0.0111130557956333,-0.000358037350695242,-0.0730911518365746,0,0,0,0.178173567572345,0.000274535842360019,-1.48706708974706E-11,4.06635087242524E-05,0.000275272223736708,6.99610060843346E-11,4.1380514660234E-05,0,0,0,0,0,0,package://狗v3/meshes/leg_2.STL,1,1,1,1,0,0,0,0,0,0,package://狗v3/meshes/leg_2.STL,,直驱变形机构-2/下连杆-1,Origin_leg_2,基准轴3,joint_leg_2,revolute,0.12921,0.054,-0.12921,-1.5708,0.7854,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
wheel_set_2,0.0384904600277942,0.00290442230512658,0.0450538052749243,0,0,0,0.818847331081487,0.00112748268460672,-8.90720758715488E-08,-9.49468638273739E-06,0.000441830809192752,-4.12952860459321E-08,0.00120102468781508,0,0,0,0,0,0,package://狗v3/meshes/wheel_set_2.STL,1,1,1,1,0,0,0,0,0,0,package://狗v3/meshes/wheel_set_2.STL,,小全向轮总装-2/变形-轮组安装-1;小全向轮总装-2/南京理工大学Alliance配件-电机3508-1;小全向轮总装-2/南京理工大学Alliance垫片10x25x2-1;小全向轮总装-2/南京理工大学Alliance推力轴承10-26-11-1;小全向轮总装-2/直驱-轮组连接-2;小全向轮总装-2/轮组侧碳板-1;小全向轮总装-2/轮组内侧碳板-1;小全向轮总装-2/连接方块-1;小全向轮总装-2/连接方块小号-1;小全向轮总装-2/连接方块-2;小全向轮总装-2/轮组连接碳板1-1;小全向轮总装-2/碳板2-1;小全向轮总装-2/连接方块-3;小全向轮总装-2/防撞-1;小全向轮总装-2/轮组保护-1;直驱变形机构-2/轮组侧碳板-1;直驱变形机构-2/轮组内侧碳板-1;小全向轮总装-2/轮组连接碳板1-3;直驱变形机构-2/轮组内侧碳板-2;直驱变形机构-2/轮组侧碳板-2,Origin_wheel_set_2,基准轴8,joint_wheel_set_2,revolute,0.029108,0,-0.13694,0,0,0,leg_2,0,1,0,0,0,0,0,,,,,,,,
wheel_2,-0.0192743581752876,-0.00135870304986695,-0.00135870304986679,0,0,0,0.0390293050060206,6.29166740582919E-06,-1.06195443027635E-12,1.06195441876264E-12,3.48130890016848E-06,1.84472501362148E-06,3.4813089001689E-06,0,0,0,0,0,0,package://狗v3/meshes/wheel_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://狗v3/meshes/wheel_2.STL,,小全向轮总装-2/南京理工大学Alliance联轴器2-1;小全向轮总装-2/南京理工大学Alliance压紧盖-1;小全向轮总装-2/航发全向轮装配-2,Origin_wheel_2,基准轴9,joint_wheel_2,revolute,0.09092,0,0.02795,1.5708,0,0,wheel_set_2,1,0,0,0,0,0,0,,,,,,,,
leg_3,0.0111130557956333,-0.000358037350695228,-0.0730911518365746,0,0,0,0.178173567572345,0.000274535842360019,-1.48706708974706E-11,4.06635087242523E-05,0.000275272223736708,6.99610060539618E-11,4.1380514660234E-05,0,0,0,0,0,0,package://狗v3/meshes/leg_3.STL,1,1,1,1,0,0,0,0,0,0,package://狗v3/meshes/leg_3.STL,,直驱变形机构-1/下连杆-1,Origin_leg_3,基准轴4,joint_leg_3,revolute,-0.12921,0.054,-0.12921,1.5708,0.7854,3.1416,base_link,0,-1,0,0,0,0,0,,,,,,,,
wheel_set_3,0.0384904600277922,0.00290442230512652,0.0450538052749235,0,0,0,0.818847331081486,0.00112748268460672,-8.90720758714675E-08,-9.49468638273738E-06,0.000441830809192752,-4.12952860459218E-08,0.00120102468781508,0,0,0,0,0,0,package://狗v3/meshes/wheel_set_3.STL,1,1,1,1,0,0,0,0,0,0,package://狗v3/meshes/wheel_set_3.STL,,小全向轮总装-1/变形-轮组安装-1;小全向轮总装-1/南京理工大学Alliance配件-电机3508-1;小全向轮总装-1/南京理工大学Alliance垫片10x25x2-1;小全向轮总装-1/南京理工大学Alliance推力轴承10-26-11-1;小全向轮总装-1/直驱-轮组连接-2;小全向轮总装-1/轮组侧碳板-1;小全向轮总装-1/轮组内侧碳板-1;小全向轮总装-1/连接方块-1;小全向轮总装-1/连接方块小号-1;小全向轮总装-1/连接方块-2;小全向轮总装-1/轮组连接碳板1-1;小全向轮总装-1/碳板2-1;小全向轮总装-1/连接方块-3;小全向轮总装-1/轮组保护-1;小全向轮总装-1/防撞-1;小全向轮总装-1/轮组连接碳板1-3;直驱变形机构-1/轮组侧碳板-2;直驱变形机构-1/轮组内侧碳板-2;直驱变形机构-1/轮组内侧碳板-1;直驱变形机构-1/轮组侧碳板-1,Origin_wheel_set_3,基准轴10,joint_wheel_set_3,revolute,0.029108,0,-0.13694,0,0,0,leg_3,0,1,0,0,0,0,0,,,,,,,,
wheel_3,-0.0192743581752876,-0.00135870304986691,-0.00135870304986679,0,0,0,0.0390293050060206,6.29166740582918E-06,-1.06195443133514E-12,1.06195441992731E-12,3.48130890016848E-06,1.84472501362149E-06,3.4813089001689E-06,0,0,0,0,0,0,package://狗v3/meshes/wheel_3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://狗v3/meshes/wheel_3.STL,,小全向轮总装-1/南京理工大学Alliance压紧盖-1;小全向轮总装-1/南京理工大学Alliance联轴器2-1;小全向轮总装-1/航发全向轮装配-2,Origin_wheel_3,基准轴11,joint_wheel_3,revolute,0.09092,0,0.02795,1.5708,0,0,wheel_set_3,1,0,0,0,0,0,0,,,,,,,,
